State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Nitrate,0.0308,0.14,10,ppm,0.21999999999999997
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Nitrate and nitrite,0.006,0.14,10,ppm,0.04285714285714285
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Selenium,0.275,30.0,50,ppb,0.009166666666666667
WI,Sparta,54615.0,Cortland Acres,145,Radium combined (-226 &amp; -228),0.36,0.05,5,pCi/L,7.199999999999999
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Bromodichloromethane,0.908,0.06,0,ppb,15.133333333333335
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Chloroform,2.09,0.4,0,ppb,5.225
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Dibromoacetic acid,0.395,0.04,0,ppb,9.875
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Dibromochloromethane,0.381,0.1,0,ppb,3.81
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Dichloroacetic acid,4.1,0.2,0,ppb,20.499999999999996
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Haloacetic acids (HAA5)†,6.7,0.1,60,ppb,67.0
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Nitrate,0.346,0.14,10,ppm,2.471428571428571
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Nitrate and nitrite,0.363,0.14,10,ppm,2.5928571428571425
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Radium combined (-226 &amp; -228),1.34,0.05,5,pCi/L,26.8
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Radon,629.0,1.5,0,pCi/L,419.3333333333333
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Total trihalomethanes (TTHMs)†,9.16,0.15,80,ppb,61.06666666666667
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Trichloroacetic acid,1.55,0.1,0,ppb,15.5
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Aluminum,20.8,600.0,0,ppb,0.034666666666666665
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Barium,21.7,700.0,2000,ppb,0.031
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Ethylbenzene,0.0227,300.0,700,ppb,7.566666666666667e-05
WI,Fort Mccoy,54615.0,Fort Mccoy South Post,250,Manganese,3.44,100.0,0,ppb,0.0344
