Utility name,City,People served,Zip
Sunriver Water LLC/sunriver Utilities,"Sunriver, OR","Population served:4,323",97701
"Sisters, City of","Sisters, OR","Population served:2,700",97701
Water Wonderland Improvement District 2,"Bend, OR","Population served:1,600",97701
"La Pine, City of","Lapine, OR","Population served:1,600",97701
Terrebonne Domestic Water District,"Terrebonne, OR","Population served:1,400",97702
Burns Water Department,Burns,"Population served: 3,000",97710
G H2o Inc.,Hines,Population served: 65,97710
Hines Water Department,Hines,"Population served: 1,563",97710
Crooked River Ranch Water Company,Terrebonne,"Population served: 4,000",97711
Deschutes Valley Water District,Madras,"Population served: 10,600",97711
"Madras, City Of",Madras,"Population served: 3,940",97711
Metolius Meadows Prop Owners,Camp Sherman,Population served: 300,97711
"Fossil, City of",Fossil,Population served: 470,97750
Mitchell City Water,Mitchell,Population served: 127,97750
"Spray, City of",Spray,Population served: 120,97750
Avion Water Company - Brasada Ranch,Bend,"Population served: 1,008",97751
Avion Water Company - Red Cloud,Bend,Population served: 442,97751
Barnes Butte Homeowners Association,Prineville,Population served: 146,97751
Cascade Pines Mobile Home Park,Elmira,Population served: 100,97751
Dry Creek Airpark,Prineville,Population served: 47,97751
Happy Hollow Water Company,Prineville,Population served: 42,97751
High Desert Estates,Prineville,Population served: 380,97751
Highland Subdivision Water District,Prineville,Population served: 335,97751
Idleway Improvement District,Prineville,Population served: 178,97751
Mcdougal Water System,Prineville,Population served: 60,97751
Ochoco Valley Home Improvement District,Prineville,Population served: 60,97751
Ochoco West Water & San Authority,Prineville,Population served: 360,97751
Prineville Mobile Home Park,Bend,Population served: 130,97751
Quail Valley Park Improvement District,Prineville,Population served: 110,97751
Shoun Crossroads,Prineville,Population served: 41,97751
Sunset Hills Domestic Water Association,Prineville,Population served: 34,97751
Terrace Mobile Plaza,Prineville,Population served: 144,97751
Westridge Subdivision,Prineville,Population served: 76,97751
City of Pendleton,"Pendleton, OR","Population served:17,310",97801
City of Hermiston,"Hermiston, OR","Population served:18,200",97801
"Milton-freewater, City Of","Milton-freewater, OR","Population served:7,070",97801
"Umatilla, City of","Umatilla, OR","Population served:6,980",97801
"Stanfield, City of","Stanfield, OR","Population served:2,115",97801
Arlington City Water Supply,Arlington,Population served: 610,97812
Condon Heights Ws,Condon,Population served: 33,97812
"Condon, City of",Condon,Population served: 690,97812
Baker City,Baker City,"Population served: 9,890",97814
City of La Grande,La Grande,"Population served: 13,245",97814
"Cove, City of",Cove,Population served: 550,97814
Elgin Water Department,Elgin,"Population served: 1,725",97814
Flying K Trailer Ranch,La Grande,Population served: 96,97814
"Haines, City of",Haines,Population served: 415,97814
"Halfway, City of",Halfway,Population served: 290,97814
"Huntington, City of",Huntington,Population served: 445,97814
Idaho Power-oxbow Village,Oxbow,Population served: 75,97814
"Imbler, City of",Imbler,Population served: 305,97814
Island City,Island City,"Population served: 1,115",97814
"North Powder, City Of",North Powder,Population served: 445,97814
"Richland, City of",Richland,Population served: 245,97814
"Sumpter, City of",Sumpter,Population served: 205,97814
Sundowner Mobile Home Park,La Grande,Population served: 160,97814
"Union, City of",Union,"Population served: 2,150",97814
"Unity, City of",Unity,Population served: 71,97814
Western Heights Water Company,Baker City,Population served: 70,97814
Canyon City Water Department,Canyon City,Population served: 705,97817
"Dayville, City of",Dayville,Population served: 150,97817
"John Day, City of",John Day,"Population served: 1,735",97817
"Long Creek, City Of",Long Creek,Population served: 195,97817
"Monument, City of",Monument,Population served: 130,97817
"Mount Vernon, City of",Mount Vernon,Population served: 509,97817
Prairie City,Prairie City,Population served: 910,97817
Sagedale Apartments,Ellensburg,Population served: 40,97817
"Seneca, City of",Seneca,Population served: 200,97817
Black Mountain Water District,Heppner,Population served: 43,97818
"Boardman, City of",Boardman,"Population served: 3,500",97818
Country Garden Estates Mobile Home Park,Irrigon,Population served: 175,97818
"Heppner, City of",Heppner,"Population served: 1,291",97818
"Ione, City of",Ione,Population served: 330,97818
"Irrigon, City of",Irrigon,"Population served: 1,885",97818
"Lexington, City Of",Lexington,Population served: 255,97818
"Enterprise, City of",Enterprise,"Population served: 1,985",97828
"Joseph, City of",Joseph,"Population served: 1,120",97828
"Lostine, City Of",Lostine,Population served: 215,97828
Wallowa Lake County Service District,Enterprise,Population served: 350,97828
"Wallowa, City of",Wallowa,Population served: 840,97828
"Adrian, City of",Adrian,Population served: 180,97901
City of Ontario,Ontario,"Population served: 14,465",97901
Fischers Place Mobile Home Park,Scappoose,Population served: 125,97901
"Jordan Valley, City of",Jordan Valley,Population served: 175,97901
"Nyssa, City of",Nyssa,"Population served: 3,285",97901
River Village Mobile Home Park,Ontario,Population served: 40,97901
"Vale, City of",Vale,"Population served: 1,950",97901
Bruneau Water and Sewer District,Bruneau,Population served: 88,97910
Grand View City Of,Grand View,Population served: 352,97910
"Homedale, City of",Homedale,"Population served: 2,600",97910
Hope House (owyhee),Marsing,Population served: 78,97910
"Marsing, City of",Marsing,"Population served: 1,031",97910
Murphy Water System,Murphy,Population served: 75,97910
Pioneer Mobile Home Park LLC,Boise,Population served: 53,97910
