Utility name,City,People served,Zip
Horn Lake Water Association,Horn Lake,"Population served: 12,601",38641
,,Population served: 0,38641
Lewisburg -ingrams Mill North,Olive Branch,Population served: 463,38641
Lewisburg Water Association,Olive Branch,"Population served: 6,000",38641
Nesbit Water Association,Nesbit,"Population served: 4,563",38641
Walls Water Association,Walls,"Population served: 2,558",38641
Walls Water Association- Lake Forest,Walls,"Population served: 8,290",38641
Bcm Water Association,Myrtle,"Population served: 1,465",38642
Blackjack Development Association,Falkner,Population served: 613,38642
City of Holly Springs,Holly Springs,"Population served: 8,676",38642
Marshall County Water Association,Byhalia,"Population served: 3,905",38642
North Benton W/a,Lamar,Population served: 388,38642
South Victoria,Byhalia,Population served: 100,38642
Town of Ashland,Ashland,"Population served: 1,909",38642
Town of Byhalia,Byhalia,"Population served: 3,637",38642
Town of Hickory Flat,Hickory Flat,"Population served: 1,362",38642
Town of Potts Camp,Potts Camp,Population served: 977,38642
Town of Potts Camp #2,Potts Camp,Population served: 428,38642
Town of Snow Lake Shores,Ashland,Population served: 500,38642
Clarksdale Public Utilities,"Clarksdale, MS","Population served:17,962",38643
North Tallahatchie W/a,"Enid, MS","Population served:3,850",38643
Charleston Utilities,"Charleston, MS","Population served:3,100",38643
City of Marks,"Marks, MS","Population served:1,738",38643
Coahoma Community College,"Clarksdale, MS","Population served:2,000",38643
Clarksdale Public Utilities,Clarksdale,"Population served: 17,962",38644
Coahoma Community College,Clarksdale,"Population served: 2,000",38644
Coahoma Utility District #2,Clarksdale,Population served: 554,38644
Green Acres W/a-north,Marks,Population served: 237,38644
Green Acres W/a-south,Marks,Population served: 351,38644
Lu-rand Utility District,Clarksdale,Population served: 215,38644
Moore Bayou W/a #2,Marks,Population served: 420,38644
Moore Bayou W/a #3,Marks,Population served: 378,38644
Moore Bayou Water Association,Marks,Population served: 438,38644
Pine Grove Water Association,Clarksdale,Population served: 433,38644
Rena Lara Water Association,Rena Lara,Population served: 412,38644
Town of Coahoma,Coahoma,Population served: 325,38644
Town of Friars Point,Friars Point,"Population served: 1,200",38644
Town of Jonestown,Jonestown,"Population served: 1,298",38644
Town of Lula,Lula,Population served: 319,38644
Town of Lyon,Lyon,Population served: 382,38644
Water Association of Moon Lake,Clarksdale,Population served: 500,38644
Clarksdale Public Utilities,Clarksdale,"Population served: 17,962",38645
Coahoma Community College,Clarksdale,"Population served: 2,000",38645
Coahoma Utility District #2,Clarksdale,Population served: 554,38645
Green Acres W/a-north,Marks,Population served: 237,38645
Green Acres W/a-south,Marks,Population served: 351,38645
Lu-rand Utility District,Clarksdale,Population served: 215,38645
Moore Bayou W/a #2,Marks,Population served: 420,38645
Moore Bayou W/a #3,Marks,Population served: 378,38645
Moore Bayou Water Association,Marks,Population served: 438,38645
Pine Grove Water Association,Clarksdale,Population served: 433,38645
Rena Lara Water Association,Rena Lara,Population served: 412,38645
Town of Coahoma,Coahoma,Population served: 325,38645
Town of Friars Point,Friars Point,"Population served: 1,200",38645
Town of Jonestown,Jonestown,"Population served: 1,298",38645
Town of Lula,Lula,Population served: 319,38645
Town of Lyon,Lyon,Population served: 382,38645
Water Association of Moon Lake,Clarksdale,Population served: 500,38645
City of Batesville,"Batesville, MS","Population served:9,971",38646
City of Sardis,"Sardis, MS","Population served:3,395",38646
City of Marks,"Marks, MS","Population served:1,738",38646
Sardis Lake Community W/a,"Batesville, MS","Population served:2,500",38646
Hotophia Water Association,"Batesville, MS","Population served:2,085",38646
Blackjack Development Association,Falkner,Population served: 613,38647
North Benton W/a,Lamar,Population served: 388,38647
Town of Ashland,Ashland,"Population served: 1,909",38647
Town of Hickory Flat,Hickory Flat,"Population served: 1,362",38647
Town of Potts Camp #2,Potts Camp,Population served: 428,38647
Town of Snow Lake Shores,Ashland,Population served: 500,38647
Alpine Water Association,Blue Springs,Population served: 840,38650
Bethlehem Water Association,New Albany,Population served: 908,38650
Blackjack Development Association,Falkner,Population served: 613,38650
Blue Springs W/a,Blue Springs,"Population served: 3,000",38650
Chalybeate Water Association,Walnut,"Population served: 1,703",38650
City of New Albany,New Albany,"Population served: 8,500",38650
City of Ripley,Ripley,"Population served: 9,400",38650
Dumas-pine Grove Water Association,Ripley,"Population served: 2,545",38650
Highway 30 West Water Association,Myrtle,"Population served: 1,869",38650
Ingomar Water Association,New Albany,"Population served: 2,508",38650
