Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
United Water Westchester Rate District 1,Dichloroacetic acid,9.78 ppb,0.2 ppb,
United Water Westchester Rate District 1,Haloacetic acids (HAA5)†,26.4 ppb,0.1 ppb,60 ppb
United Water Westchester Rate District 1,Haloacetic acids (HAA9)†,25.8 ppb,0.06 ppb,
United Water Westchester Rate District 1,Total trihalomethanes (TTHMs)†,36.8 ppb,0.15 ppb,80 ppb
United Water Westchester Rate District 1,Trichloroacetic acid,16.6 ppb,0.1 ppb,
United Water Westchester Rate District 1,"1,4-Dioxane*",0.00547 ppb,0.35 ppb,
United Water Westchester Rate District 1,Barium,15.7 ppb,700 ppb,"2,000 ppb"
United Water Westchester Rate District 1,Chlorate,21.8 ppb,210 ppb,
United Water Westchester Rate District 1,Chromium (total),0.00952 ppb,,100 ppb
United Water Westchester Rate District 1,Dibromoacetic acid,0.0117 ppb,0.04 ppb,
United Water Westchester Rate District 1,Dibromochloromethane,0.0199 ppb,0.1 ppb,
United Water Westchester Rate District 1,Fluoride,0.806 ppm,,4 ppm
United Water Westchester Rate District 1,Manganese,21.7 ppb,100 ppb,
United Water Westchester Rate District 1,Monochloroacetic acid,0.0220 ppb,53 ppb,
United Water Westchester Rate District 1,Nitrate,0.153 ppm,0.14 ppm,10 ppm
United Water Westchester Rate District 1,Nitrate and nitrite,0.153 ppm,0.14 ppm,10 ppm
United Water Westchester Rate District 1,Pentachlorophenol,0.0138 ppb,0.3 ppb,1 ppb
United Water Westchester Rate District 1,Strontium,0.0223 ppb,"1,500 ppb",
United Water Westchester Rate District 1,None,,,
Aquarion Water - NH,Arsenic,2.50 ppb,0.004 ppb,10 ppb
Aquarion Water - NH,Bromodichloromethane,0.498 ppb,0.06 ppb,
Aquarion Water - NH,Chromium (hexavalent),0.128 ppb,0.02 ppb,
Aquarion Water - NH,Dibromoacetic acid,2.73 ppb,0.04 ppb,
Aquarion Water - NH,Dibromochloromethane,0.734 ppb,0.1 ppb,
Aquarion Water - NH,Haloacetic acids (HAA5)†,3.09 ppb,0.1 ppb,60 ppb
Aquarion Water - NH,Haloacetic acids (HAA9)†,10.3 ppb,0.06 ppb,
Aquarion Water - NH,Nitrate,1.67 ppm,0.14 ppm,10 ppm
Aquarion Water - NH,Perfluorooctanoic acid (PFOA),1.12 ppt,0.007 ppt,
Aquarion Water - NH,"Radium, combined (-226 &amp; -228)",0.92 pCi/L,0.05 pCi/L,5 pCi/L
Aquarion Water - NH,Total trihalomethanes (TTHMs)†,3.58 ppb,0.15 ppb,80 ppb
Aquarion Water - NH,Barium,20.8 ppb,700 ppb,"2,000 ppb"
Aquarion Water - NH,Bromoform,0.353 ppb,0.5 ppb,
Aquarion Water - NH,Chlorate,67.1 ppb,210 ppb,
Aquarion Water - NH,Chloroform,0.305 ppb,0.4 ppb,
Aquarion Water - NH,Chromium (total),0.105 ppb,,100 ppb
Aquarion Water - NH,Dichloroacetic acid,0.363 ppb,0.2 ppb,
Aquarion Water - NH,Fluoride,0.0180 ppm,,4 ppm
Aquarion Water - NH,Manganese,24.5 ppb,100 ppb,
Aquarion Water - NH,Perfluoroheptanoic acid (PFHPA),0.750 ppt,1 ppt,
Aquarion Water - NH,Perfluorohexane sulfonate (PFHXS),0.110 ppt,1 ppt,
Aquarion Water - NH,Perfluorooctane sulfonate (PFOS),0.617 ppt,1 ppt,
Aquarion Water - NH,Selenium,0.0440 ppb,30 ppb,50 ppb
Aquarion Water - NH,Strontium,0.190 ppb,"1,500 ppb",
Aquarion Water - NH,Uranium,0.47 pCi/L,0.43 pCi/L,20 pCi/L
Aquarion Water - NH,Vanadium,0.0110 ppb,21 ppb,
Aquarion Water - NH,None,,,
Aquarion Water - NH,Arsenic,2.50 ppb,0.004 ppb,10 ppb
Aquarion Water - NH,Bromodichloromethane,0.498 ppb,0.06 ppb,
Aquarion Water - NH,Chromium (hexavalent),0.128 ppb,0.02 ppb,
