Utility name,City,People served,Zip
United Water New York,West Nyack,"Population served: 270,950",10901
Kiryas Joel Village,"Monroe, NY","Population served:31,988",10910
Middletown City,"Middletown, NY","Population served:30,850",10910
New Windsor Consolidated WD,"New Windsor, NY","Population served:30,450",10910
Newburgh City,"Newburgh, NY","Population served:28,000",10910
Newburgh Consolidated WD,"Newburgh, NY","Population served:26,313",10910
Wallkill Consolidated WD,"Middletown, NY","Population served:18,175",10910
Woodbury Cons. WD,"Central Valley, NY","Population served:10,741",10910
Monroe Village,"Monroe, NY","Population served:10,465",10910
Cornwall-on-hudson,"Cornwall-on-hudson, NY","Population served:9,500",10910
Port Jervis City,"Port Jervis, NY","Population served:9,000",10910
Bear Mountain Water Supply,Bear Mountain,"Population served: 3,564",10911
High-tor Properties,New York,Population served: 300,10911
Hillburn Village,Hillburn,Population served: 950,10911
Hilltop House,Spring Valley,Population served: 73,10911
J&r Mobile Homes,Lake George,Population served: 75,10911
Lake Lucille Prop Owners Association,New City,Population served: 92,10911
Mazza-leone Mobile Home Court,West Haverstraw,Population served: 55,10911
Mount Ivy Enterprises,Thiells,Population served: 170,10911
Mountainview Mobile Home Park,Stony Point,Population served: 225,10911
Nyack Village Water Supply,Nyack,"Population served: 14,700",10911
"Oak Tree La, Hav Ltd",New City,Population served: 140,10911
,,Population served: 0,10911
Pomona Country Club,Suffern,Population served: 30,10911
Pomona Glen,Stony Point,Population served: 50,10911
,,Population served: 0,10911
St. Marys Villa,Sloatsburg,Population served: 55,10911
Suffern Village,Suffern,"Population served: 12,000",10911
Sunrise Bungalows,Spring Valley,Population served: 50,10911
Torne Brook Farm,Hillburn,Population served: 50,10911
United Water New York,West Nyack,"Population served: 270,950",10911
Bear Mountain Water Supply,Bear Mountain,"Population served: 3,564",10913
High-tor Properties,New York,Population served: 300,10913
Hillburn Village,Hillburn,Population served: 950,10913
Hilltop House,Spring Valley,Population served: 73,10913
J&r Mobile Homes,Lake George,Population served: 75,10913
Lake Lucille Prop Owners Association,New City,Population served: 92,10913
Mazza-leone Mobile Home Court,West Haverstraw,Population served: 55,10913
Mount Ivy Enterprises,Thiells,Population served: 170,10913
Mountainview Mobile Home Park,Stony Point,Population served: 225,10913
Nyack Village Water Supply,Nyack,"Population served: 14,700",10913
"Oak Tree La, Hav Ltd",New City,Population served: 140,10913
,,Population served: 0,10913
Pomona Country Club,Suffern,Population served: 30,10913
Pomona Glen,Stony Point,Population served: 50,10913
,,Population served: 0,10913
St. Marys Villa,Sloatsburg,Population served: 55,10913
Suffern Village,Suffern,"Population served: 12,000",10913
Sunrise Bungalows,Spring Valley,Population served: 50,10913
Torne Brook Farm,Hillburn,Population served: 50,10913
United Water New York,West Nyack,"Population served: 270,950",10913
Kiryas Joel Village,"Monroe, NY","Population served:31,988",10914
Middletown City,"Middletown, NY","Population served:30,850",10914
New Windsor Consolidated WD,"New Windsor, NY","Population served:30,450",10914
Newburgh City,"Newburgh, NY","Population served:28,000",10914
Newburgh Consolidated WD,"Newburgh, NY","Population served:26,313",10914
Wallkill Consolidated WD,"Middletown, NY","Population served:18,175",10914
Woodbury Cons. WD,"Central Valley, NY","Population served:10,741",10914
Monroe Village,"Monroe, NY","Population served:10,465",10914
Cornwall-on-hudson,"Cornwall-on-hudson, NY","Population served:9,500",10914
Port Jervis City,"Port Jervis, NY","Population served:9,000",10914
